name,total
"Mr. Felipe HuelMcLaughlin",9
"Kate KleinHirthe",1
"Angel Heller MDZemlak",3
"Chester KochMorissette",8
"Jessica MorarSchiller",7
"Gene OkunevaSteuber",8
"Mr. Trevor SchowalterMann",8
"Salvatore LoweHodkiewicz",16
"Darrel DouglasDach",3
"Gina OlsonDurgan",7
"Vivian JastBednar",3
"Jenny WalshKoss",7
"Toby PacochaMante",6
"Rudolph PagacCole",10
"Harold ThompsonLesch",9
"Ed WunschPowlowski",6
"Lee Lesch PhDFerry",6
"Katie SipesDietrich",7
"Pat DurganDaniel",6
"Melinda WalkerO'Conner",9
"Orlando StrackeTremblay",4
"Shannon PfefferBraun",10
"Nancy SchmittLegros",7
"Ellis DurganGreenholt",6
"Curtis KihnLynch",9
"Jacqueline Streich Sr.Kuhic",6
"Adrian TurnerZieme",9
"Jacob Labadie DVMMetz",8
"Madeline SkilesSchmeler",8
"Santiago DanielHansen",7
"Darrin CrooksDooley",7
"Cindy StoltenbergBrakus",7
"Silvia DibbertKoss",11
"Alfred BernierJohnston",7
"Wilson Reichel IZulauf",3
"Mrs. Marsha SchillerConsidine",10
"Gail BechtelarRatke",9
"Vincent Stehr IIIHand",8
"Claudia FisherPredovic",6
"Dr. Walter LindgrenOrtiz",11
"Kathy MosciskiWehner",5
"Gabriel MannJacobson",10
"Guy TurcotteHessel",2
"Jill DibbertRussel",11
"Austin GorczanyJacobs",7
"Benny OrtizStracke",10
"Julie Kuhic IMacejkovic",5
"Ms. Sara BotsfordHerman",10
"Megan Reynolds DVMStokes",5
"Mrs. Christian OrnWolff",5
"Joy VandervortHomenick",8
"Philip SchowalterHessel",7
"Garry Block PhDProsacco",7
"Cecil LangoshMills",3
"Carmen RunolfsdottirSteuber",5
"Jeffery HermanMertz",5
"Stephen JaskolskiLindgren",6
"Mr. Marguerite RitchieMoen",5
"Marcia KubBeer",6
"Dwayne ConnSmith",5
"Mr. Rudy MertzDietrich",8
"Andres SchneiderMante",7
"Alexander HalvorsonRoberts",10
"Lorena CorkeryKoepp",11
"Mr. Kathy PourosHaley",10
"Josh O'KeefeSchulist",3
"Roxanne Murray Jr.Walter",6
"Damon DickinsonMacejkovic",6
"Terry GleasonEmmerich",6
"Deanna Kihn IHilpert",9
"Ben MurazikKessler",6
"Angelo AbernathyDaniel",7
"Sandy VonRuedenMcLaughlin",3
"Jacob ErdmanDouglas",11
"Marc TorpCorkery",13
"Chelsea LoweWalker",8
"Zachary EbertSteuber",13
"Oscar ConnellySchmidt",6
"Guadalupe StromanRippin",6
"Kellie VandervortGoodwin",9
"Rachel QuigleyMohr",7
"Darrell BergstromLangworth",4
"Mrs. Brad SchoenCummings",6
"Mr. Terri HauckHuels",9
"Jorge StantonSchinner",6
"Neil O'ReillyLubowitz",1
"Alonzo ParisianVolkman",5
"Melvin Okuneva VStreich",9
"Lillian TreutelLesch",5
"Hilda TowneHettinger",8
"Mrs. Jessica HarberHickle",6
"Jeremy EmmerichSimonis",8
"Leona D'AmoreMcGlynn",8
"Christina CummingsHammes",3
"Rafael ProsaccoKoelpin",5
"Ms. Angel CrooksBednar",7
"Felipe WisozkParker",8
"Ada WaelchiHudson",8
"Darrel SteuberBlock",6
"Salvatore KesslerStoltenberg",9
"Miss Holly KrisGutkowski",3
"Jose HyattPrice",9
"Shelly SimonisWisozk",10
"Lynette KleinParker",5
"Norman AltenwerthPredovic",8
"Cecil SipesHomenick",7
"Della EffertzFunk",5
"Mr. Elizabeth KohlerLueilwitz",5
"Jaime LednerRunte",10
"Jeannie FunkBauch",7
"Melody Predovic Jr.Rolfson",6
"Miss Brittany SchmidtHaley",7
"Jerome DanielJacobi",9
"Mike StromanCole",2
"Marianne StreichKutch",4
"Armando WilkinsonJacobi",8
"Dana FramiBlock",13
"Gregg LakinFeeney",7
"Louis HaneWiza",6
"Dr. Adrienne HudsonCummerata",3
"Candice GislasonNader",3
"Mae Ward Sr.Hermiston",7
"Dr. Johnnie RobertsStark",9
"Angie WeissnatBlick",4
"Kathryn RogahnHartmann",6
"Jeremiah O'ConnellWeber",7
"Clint FarrellSchroeder",6
"Clyde MuellerHuel",8
"Ted FriesenKautzer",6
"Rex O'ConnerBeer",7
"Brendan O'KeefeLarson",5
"Brittany ToyLarkin",9
"Hazel JakubowskiParisian",6
"Antonia GrimesJakubowski",4
"Mr. Winifred BoehmBalistreri",9
"Terry Douglas IVWitting",9
"Darren SpinkaHuel",6
"Evelyn RippinTerry",9
"Eloise MoenKoepp",5
"Darlene RogahnHuels",7
"Maryann LeuschkeSawayn",4
"Claudia GloverTerry",7
"Mrs. Yvonne WatersDurgan",4
"Denise JakubowskiWaters",11
"Karla Harvey IIPouros",3
"Shawn KemmerEmmerich",7
"Ben RunolfssonHayes",12
"Franklin ThielLang",5
"Jackie BruenMarvin",4
"Homer SchusterFisher",10
"Mr. Sharon SchneiderFarrell",6
"Miss Ana GreenSchaden",4
"Bessie RauChamplin",5
"Ernestine DanielJast",11
"Ginger KeeblerThompson",9
"Malcolm Hansen IIDicki",7
"Rene KilbackRoob",6
"Benjamin HirtheHartmann",8
"Kelvin KrajcikBorer",7
"Lester BernhardBecker",6
"Nathaniel LarsonWolff",7
"Glenda BoyleRohan",8
"Ms. Tracy BatzBoehm",4
"Donna StehrKing",5
"Nelson BorerKertzmann",5
"Marcos BergnaumHagenes",7
"Pamela TorphyRaynor",2
"Miss Margaret TreutelMedhurst",9
"June HuelWolf",11
"Miss Edgar DuBuqueKlocko",6
"Peter FeestKassulke",7
"Santos HyattStracke",11
"Walter StarkWillms",8
"Tara FeeneyWeissnat",5
"Eloise LockmanTillman",5
"Verna HansenSchoen",4
"Jessie HoegerPouros",8
"Verna WeimannBartoletti",10
"Erica LangKerluke",5
"Ernesto Glover DDSAnderson",6
"Marcos BeierStiedemann",7
"Benjamin CroninFranecki",7
"Sara Ferry Jr.Hettinger",7
"Marvin ConsidineO'Hara",7
"Garry WeberShanahan",7
"Kristie Terry IPrice",4
"Mrs. Inez KshlerinMuller",6
"Dwight EbertBruen",9
"Iris BergeDooley",6
"Carolyn RitchieReichel",9
"Ollie DanielMohr",7
"Maurice DenesikHeller",8
"Russell WhiteSchaden",6
"Marcella SkilesLynch",4
"Maria WilliamsonSpinka",10
"Rhonda Lemke DVMPfannerstill",8
"Sally KingPredovic",7
"Don KemmerHickle",14
"Jeffrey BotsfordJast",4
"Shelley Beier PhDFadel",5
"Cindy BauchGleichner",7
"Arnold RodriguezKeeling",7
"Guadalupe HeaneyRyan",7
"Cathy SchoenFadel",5
"Gene VolkmanLittel",6
"Nelson BradtkeSchultz",5
"Ramon McLaughlinMosciski",7
"Rose WeberBoehm",8
"Elijah BednarWard",5
"Rufus HegmannRosenbaum",8
"Lana OlsonVandervort",9
"Erica ReingerDooley",8
"Cathy PriceKuhic",10
"Herman WeimannKertzmann",7
"Jacob Considine Sr.Torp",11
"Ms. Jeannie ZboncakGlover",6
"Tasha Hintz DVMFadel",6
"Audrey HauckDickens",8
"Ruby StoltenbergMayert",11
"Anna JakubowskiMante",5
"Cathy GaylordHaag",9
"Eleanor ConnVeum",6
"May KubWisoky",11
"Courtney BalistreriHomenick",6
"Emmett HoweGreen",3
"Renee Beer DDSHickle",6
"Horace Abbott DVMBauch",8
"Bridget YundtDenesik",6
"Greg Maggio DDSMuller",6
"Constance HirtheStanton",8
"Martha WymanGreen",3
"Terry DickinsonHilll",5
"Martha QuitzonMurray",6
"Terence WehnerLittle",15
"Ray OberbrunnerCartwright",7
"Holly Grady Jr.Ritchie",14
"Elsie Kuhlman MDHalvorson",13
"Anna Hickle IIIKoepp",6
"Cecilia BraunBode",6
"Dorothy Strosin Jr.Quitzon",4
"Doug DoyleSwaniawski",11
"Mabel WisozkMcLaughlin",6
"Camille Bernier Jr.Borer",3
"Nancy GoodwinPadberg",8
"Cameron CarrollLeffler",5
"Jared SchmittLegros",8
"Randy ShanahanDooley",8
"Eileen Nolan IIIKrajcik",3
"Mrs. Pauline JacobsWill",4
"Rolando KrajcikStamm",4
"Karla BrekkeKeeling",10
"Cedric McCulloughPredovic",10
"Kerry BahringerBlanda",5
"Dr. Everett CollierO'Reilly",4
"Marty Wolf PhDBraun",5
"Adrian MoenRosenbaum",1
"Sonya RunolfsdottirMetz",5
"Monica BinsZboncak",11
"Dr. Isaac FlatleyJaskolski",5
"Phil NienowMorissette",4
"Conrad Rosenbaum VMosciski",6
"Paula DareKerluke",3
"Jerry BednarMoen",9
"Anne RennerMills",7
"Terry JerdeTorp",5
"Michele BuckridgeDoyle",6
"Damon KuhicPrice",5
"Russell Torp DDSMcClure",7
"Beulah Bogisich Jr.Gutmann",8
"Oliver DareVonRueden",10
"Geraldine TowneBauch",4
"Pam Purdy Jr.Denesik",8
"Spencer HerzogWehner",5
"Donnie RennerBatz",6
"Mitchell HeaneyWalsh",10
"Mr. Kristina StantonZieme",6
"Dana HermannBalistreri",4
"Terrance Braun PhDThiel",4
"Josh BahringerRussel",6
"Hope SchmidtBergstrom",7
"Kimberly GutkowskiWaters",6
"Ted TorphyAltenwerth",6
"Maxine JonesMetz",6
"Andres LubowitzBeahan",6
"Olivia Adams IVMacejkovic",7
"Calvin FeeneyCronin",10
"Ms. Ignacio OsinskiO'Conner",9
"Minnie Paucek IVWilderman",8
"Joan SchoenSporer",9
"Jesus HermistonAnkunding",4
"Betty RippinLehner",5
"Flora CristWitting",11
"Miss Marianne BaumbachMayert",7
"Mr. Evan ReichelCummerata",13
"Jake TillmanHahn",7
"Krista KeeblerStroman",12
"Allan SchinnerKoch",5
"Byron Dickens DDSZulauf",11
"Van KihnSchmeler",15
"Herbert Rowe Sr.Hamill",6
"Kelley Farrell DVMWill",10
"Shawn WittingNienow",10
"Devin MaggioAnderson",9
"Katherine SchaeferMarvin",11
"Rebecca DenesikFriesen",8
"Owen Champlin DVMJones",7
"Sean Hyatt IDoyle",6
"Shannon MacGyverRunolfsson",6
"Cristina StehrCasper",6
"Melvin GleasonGusikowski",7
"Deanna RoobOkuneva",9
"Dr. Margarita BednarWolff",4
"Marcia SteuberDare",11
"Shawn HahnLegros",13
"Miss Erick SwiftKuhn",4
"Everett ThompsonSawayn",14
"Brandi GoldnerGoyette",8
"Jenny RatkeBeier",8
"Rochelle KiehnStanton",7
"Gayle WhiteGutmann",10
"Ethel FaheySchmidt",8
"Stacy PredovicJacobson",5
"Carroll WeissnatRaynor",4
"Cecil AuerReilly",7
"Ruth GutkowskiKrajcik",5
"Ms. Ashley WalshMarquardt",8
"Ray WeimannDaugherty",11
"Percy O'ConnerKeeling",15
"Virgil KoelpinMayer",4
"Roxanne ConnellyKris",8
"Leon KochLehner",8
"Ms. Eileen RempelSchroeder",5
"Harriet ReillyYost",5
"Josephine WeberO'Connell",8
"Blanche CruickshankWisoky",7
"Kevin StantonRohan",6
"Stacy AufderharVonRueden",7
"Natasha BaileyAbernathy",4
"Myra MurphyOkuneva",3
"Debbie GusikowskiO'Connell",7
"Dwight BrownLueilwitz",14
"Conrad GrahamKuphal",8
"Courtney WelchSporer",8
"Brad Bruen ISchimmel",7
"Roxanne BeierOberbrunner",3
"Maxine KertzmannCummerata",6
"Sara FeestZiemann",6
"Elena LemkeDach",5
"Gayle BotsfordKohler",3
"Miriam WhiteStokes",6
"Danielle OsinskiMayert",7
"Miss Betsy SpencerGoyette",6
"Kristopher MayerDare",7
"Dianna JacobsSchuster",7
"Wilma HyattCummings",3
"Ellen BotsfordPadberg",7
"Henry ErdmanSpencer",4
"Miss Heidi BlandaBrakus",4
"Celia KeelingBarton",7
"Sidney RoweWill",7
"Gerardo Buckridge PhDThompson",8
"Tyrone LindPollich",6
"Kristy Dare IICassin",9
"Vicky VandervortReichel",12
"Marta KonopelskiMitchell",7
"Denise StrosinPfannerstill",8
"Beatrice MurphyBlock",4
"Belinda Lang IIIJaskolski",8
"Dana WunschLeffler",9
"Grant OberbrunnerJacobson",6
"Dan KassulkeHarber",8
"Helen LangoshMcClure",5
"John LeschHarber",5
"Edmund SatterfieldWolff",9
"Harriet SauerSchinner",3
"Amos KlockoLebsack",6
"Lori KundeHamill",5
"Olga SmithamCrist",10
"Sonia CollinsBarton",6
"Alberto PredovicSchmitt",8
"Verna HackettPagac",4
"Gustavo GrimesProhaska",3
"Calvin VolkmanGlover",6
"Janie SchmidtKub",7
"Bradford TillmanEbert",8
"Alex RodriguezLeannon",9
"Mr. Diane LangoshFritsch",9
"Patty CormierLemke",3
"Glen Beer IZemlak",5
"John DachHilpert",5
"Traci McLaughlinWindler",6
"Mrs. Desiree HuelsMcGlynn",6
"Jean RyanSawayn",7
"Sherry SwiftYundt",8
"Dr. Archie BechtelarLind",4
"Nathaniel SkilesKris",5
"Fred DibbertSwift",9
"Jacob O'KeefeAbbott",6
"Mr. Otis HaleyBotsford",4
"Dr. Edgar PriceGutkowski",7
"Diane TurnerBeier",8
"Austin Douglas IIMedhurst",5
"Thomas HirthePagac",4
"Dr. Nellie KilbackBode",9
"Maureen ManteWisoky",3
"Timothy Boyer VLynch",9
"Betty ToyGorczany",9
"Andres WolffBoehm",8
"Julio AufderharRath",6
"Marco RohanSchmitt",3
"Miss Jermaine GrahamWuckert",6
"Jaime HamillRunolfsson",8
"Terence RaynorSporer",2
"Isaac DaughertyPollich",9
"Georgia BradtkeHermann",8
"Gloria Kiehn Jr.Bernhard",13
"Dennis FayFarrell",9
"Corey SchoenKertzmann",8
"Allison ShieldsLangosh",9
"Donald DibbertWilliamson",8
"Evan HowellWindler",9
"Susie CorwinFriesen",6
"Judy McGlynnGrant",4
"Veronica MaggioBernier",10
"Lynette RyanGreen",8
"Erma StrackeOndricka",6
"Mrs. Angel StehrDonnelly",10
"Kristy BeattyLabadie",7
"Juana CorkeryJerde",8
"Angelina LarkinMante",6
"Erick Schiller IStanton",3
"Matthew CronaDurgan",9
"Rick PurdyJacobson",7
"Meredith CummerataSchuppe",6
"Harold FarrellDaugherty",2
"Miss Patrick BartonBergnaum",7
"Della Robel Sr.Bergnaum",5
"Jane ZiemeKuvalis",4
"Herman BoscoAbshire",5
"Isaac Bruen PhDRath",5
"Mr. Francis GrahamKautzer",5
"Bonnie HickleTremblay",1
"James CollierZulauf",9
"Eva BoscoFranecki",9
"Miss Kristine DareKoch",6
"Kristin SatterfieldConnelly",6
"Preston ToyHowe",8
"Ramon BoscoQuigley",8
"Joanne RunolfsdottirHyatt",8
"Victoria WalshHettinger",6
"Mrs. Ollie FriesenStanton",6
"Wayne HomenickRau",4
"Felipe NolanKertzmann",7
"Mr. Alison WalkerMertz",9
"Lana ErnserReichel",5
"Anne WisozkMcGlynn",6
"Toni McDermottSanford",5
"Evan DuBuquePagac",5
"Norma TurcotteMohr",7
"Lucia GloverHartmann",8
"Dr. Amelia KreigerRunolfsdottir",5
"Conrad Rutherford PhDBergnaum",10
"Miss Randall LebsackFriesen",5
"Eleanor GreenDenesik",4
"Donnie RathCummings",6
"Ora KingAbshire",7
"Wanda BartonMcDermott",6
"Lisa Heidenreich PhDUpton",9
"Javier FisherWisozk",5
"Marianne WilliamsonRatke",7
"Pedro ErnserBernier",3
"Ernestine StiedemannBreitenberg",6
"Mr. Andrea ProsaccoKuhic",9
"Mr. Neal HaneChristiansen",9
"Sean O'KeefeMarvin",8
"Jessie RobelDaniel",16
"Vivian RunolfssonSawayn",7
"Miranda LeannonShanahan",9
"Louise HeathcoteRosenbaum",7
"Tammy HarrisCremin",6
"Lee KoeppWiza",5
"Ian HartmannDeckow",4
"Evan BartolettiSchumm",11
"Violet OberbrunnerSchmitt",12
"Mrs. Dewey MaggioBosco",8
"Penny HeaneySporer",5
"Charlie PfefferVandervort",9
"Mr. Ira BarrowsBednar",5
"Ken LindPfannerstill",11
"Emmett O'HaraAnkunding",10
"Ronnie HartmannGraham",4
"Janis VeumConsidine",6
"Genevieve JacobsMuller",5
"Mrs. Damon HillsRunolfsdottir",5
"Marvin GloverMraz",9
"Felipe WatsicaBechtelar",6
"Dr. Kerry ToyTorphy",3
"Elijah HudsonRath",2
"Rosie ColeConn",6
"Dr. Lillian WhiteZulauf",6
"Fred MullerAnderson",4
"Justin SatterfieldRaynor",7
"Freda GoodwinVeum",4
"Owen KulasSwift",9
"Mr. Meredith SchusterGulgowski",5
"Julie HuelDurgan",7
"Julian StantonSchmeler",10
"Kim ConsidineKreiger",6
"Jessie WisokyRitchie",7
"Pat ParisianMuller",4
"Kim WymanAnderson",10
"Gertrude SchummJacobson",6
"Pete MaggioKing",9
"Leroy WisokyHayes",5
"Ella SchillerMoen",8
"Jorge FarrellAbernathy",7
"Dr. Brian NicolasTrantow",7
"Emily PfefferFeest",5
"Hubert VolkmanDicki",9
"Katrina QuigleyBogan",10
"Alfred WiegandKuhic",6
"Dominic TrompSenger",7
"Ricardo UllrichLang",9
"Duane StoltenbergGerlach",8
"Arthur SchillerWilliamson",8
"Harry MoenDare",6
"Ann KonopelskiFay",6
"Mrs. Judith O'KeefeBrakus",6
"Miss Judy StarkKlein",3
"Julio O'HaraJohnston",5
"Paul TerryWalter",7
"Marco HellerRyan",10
"Mr. Kurt UllrichLynch",7
"Terry BergstromHaag",11
"Laurence SchmelerMraz",8
"Geoffrey FisherHowell",6
"Marcia HilllThiel",6
"Domingo BartonTowne",8
"Abraham AltenwerthMacejkovic",2
"Carl LeuschkeCorwin",12
"Allison FisherVolkman",6
"Charlie VonThompson",8
"Della GrahamBatz",10
"Angelo HilpertCorkery",7
"Evelyn NitzscheLuettgen",5
"Mr. Toby YostRobel",11
"Jeff GreenWalker",4
"Mrs. Janis NicolasGoyette",6
"Nicolas HodkiewiczBoehm",5
"Renee O'ConnerDouglas",1
"Marlon O'ConnerSatterfield",4
"Darin BergeWindler",11
"Casey HermannSchiller",7
"Enrique BreitenbergCassin",7
"Sharon Jast IIBashirian",1
"Alonzo LeschNolan",8
"Brent KirlinMurphy",12
"Amos GoyetteTurcotte",5
"Jack RathRath",7
"Miss Gilberto HintzWitting",7
"Francisco Goodwin VThiel",4
"Donna ErdmanLowe",10
"Delores HowellShields",9
"Minnie BalistreriCartwright",13
"Gwen AbshireWolff",4
"Terrence Spinka DDSMosciski",8
"Dave WatersHalvorson",6
"Sam StantonRitchie",7
"Kelley AbshireAbernathy",9
"Terry KemmerLynch",4
"Eloise ColeBogisich",8
"Antoinette Denesik IVMohr",6
"Dr. Mathew KohlerWintheiser",6
"Pearl TrantowPagac",11
"Jennie Rohan IVRaynor",7
"Guadalupe BarrowsDickinson",4
"Isabel SteuberPollich",7
"Antonia HermistonDoyle",4
"Holly BogisichStokes",7
"Boyd Herman DDSHaley",3
"Horace MacGyverBeer",6
"Tami BotsfordFrami",4
"Stanley AnkundingGottlieb",6
"Jeanne KlockoZulauf",6
"Dr. Curtis DickensHowell",7
"Rebecca SchillerFranecki",4
"Kelly BreitenbergTorphy",7
"Jay HaleyKohler",6
"Theresa McLaughlinTurcotte",8
"Janis GloverSchaefer",6
"Brooke BeattyZboncak",9
"Doris KoeppWolf",2
"Miss Mae KilbackStrosin",4
"Gerard WizaAufderhar",10
"Regina Glover VWunsch",5
"Mr. Tracey HickleBeatty",6
"Ann LangoshCarter",12
"Jon SanfordChristiansen",5
"Pedro DaughertySchmeler",5
"Alex LarsonCollier",9
"Hilda KubBoehm",4
"Marcella Schumm IIGreenholt",14
"Miss Sophia KirlinHerman",6
"Nettie MonahanCollins",11
"Chad BeerDoyle",4
"Antonio LabadieStokes",5
"Brandon Paucek MDMedhurst",6
"Margie KoelpinWard",8
"Archie MooreLegros",6
"Rosa MurazikHauck",7
"Ms. Dawn OberbrunnerLang",4
"Eva CormierBergnaum",9
"Mr. Clyde CummerataBlick",9
"Mr. Martin StiedemannHilll",10
"Javier KossLarkin",8
"Rolando Will DVMWolf",2
"Janie StrosinBarton",11
"Paula Yundt MDHettinger",7
"Tamara BeerProhaska",4
"Ruben JacobsZboncak",10
"Mercedes Senger IIO'Conner",6
"Morris PfefferKutch",6
"Ada Wyman VHerzog",6
"Elvira HayesSchaefer",6
"Kerry DickinsonRosenbaum",9
"Iris Champlin IIGrimes",7
"Saul LeannonEbert",5
"Ramon FarrellZboncak",2
"Rachael BernierStiedemann",10
"Melvin O'Hara Sr.Bernhard",1
"Moses OberbrunnerRatke",6
"Luis BatzPurdy",4
"Donna Harber IIIWunsch",8
"Ramona Dietrich PhDHand",8
"Diana WhiteMcKenzie",5
"Jessie HaagKautzer",7
"Richard KoeppMedhurst",6
"Dale StarkProsacco",5
"Stephanie MillsLang",11
"Sharon Schowalter IIHudson",6
"Clinton WeimannKautzer",9
"Dwayne DickiHilll",5
"Lydia WildermanBartoletti",7
"Barry Nader Jr.Bechtelar",6
"Brandy ZiemannGraham",8
"Rickey BergnaumBraun",7
"Vivian Wuckert DVMO'Kon",6
"Miss Kristi RomagueraKilback",4
"Ms. Catherine RomagueraWyman",5
"Marsha MorissetteRyan",8
"Clyde SchneiderRogahn",4
"Toni SwaniawskiRippin",9
"Guadalupe CormierHilpert",9
"Jessie Beahan VThiel",7
"Daniel RoobWolff",4
"Shelley RauRogahn",7
"Mrs. Alexis LockmanHartmann",4
"Celia Hudson Sr.Schumm",5
"Winifred WeberSchmeler",8
"Sally RitchieReinger",7
"David HeathcoteWiza",5
"Felicia MurphySmitham",6
"Raul GloverUpton",10
"Lyle SporerChristiansen",5
"Marion KiehnZieme",7
"Genevieve Wyman MDProsacco",6
"Roger Rice IVon",6
"Pablo KeelingNitzsche",8
"Loren ColeLindgren",9
"Eileen StrackeMosciski",11
"Elsie WildermanJenkins",7
"Mrs. Raymond RaynorLegros",3
"Thomas BashirianKeebler",5
"Mrs. Sandy SawaynRippin",8
"Nancy Ritchie MDNader",12
"Juana WillmsPfannerstill",4
"Miss Jo BeerFunk",6
"Kathy Swaniawski DDSKrajcik",7
"Mrs. Dan ConnellySmitham",9
"Sonia Kiehn Jr.Hansen",6
"Debra BernierStroman",7
"Samuel CruickshankAltenwerth",5
"Constance Lang PhDSawayn",6
"Irma OrtizRunolfsdottir",7
"Gregory TrompSimonis",6
"Janis KrajcikBahringer",7
"Terri WintheiserTorp",5
"Dixie PaucekMetz",3
"Ervin MrazFeeney",5
"Randolph StantonVeum",8
"Terry HandDicki",5
"Lloyd Will Sr.Kozey",12
"Kerry GerlachConnelly",8
"Kristie Wuckert DVMHarber",6
"Brett BrekkeHettinger",6
"Pablo Howell PhDCarter",6
"Mr. Dixie StrackeSenger",8
"Ashley MitchellBauch",8
"Mamie LittleHeathcote",5
"Agnes MurrayOndricka",10
"Simon SmithamDooley",7
"Cody HellerOlson",9
"Leah O'ReillyMosciski",11
"Nathaniel SchneiderJohns",11
"Mrs. Abel CorwinSchmitt",8
"Boyd LehnerSchmitt",7
"Betty Heidenreich Jr.Ortiz",15
"Devin PurdyHoeger",5
"Bryant LarkinRolfson",5
"Sally ParisianVon",10
"Jonathan PowlowskiLegros",8
"Grace CollinsCole",7
"Latoya MannMarvin",11
"Tammy BarrowsTurcotte",6
"Carlos KovacekWaters",5
"Lance RomagueraCollins",10
"Delia ZboncakBerge",13
"Fredrick Haley Jr.Turner",7
"Maggie MorarWilliamson",3
"Lena HuelGreenholt",7
"Vincent ReichertSchiller",4
"Mrs. Alexis ParkerBruen",8
"Michele GislasonDavis",4
"Amber CreminLesch",7
"Alexis AnkundingLabadie",5
"Dr. Melanie LehnerAufderhar",6
"Regina FramiSipes",6
"Jamie DickensBartell",6
"Marion Ortiz DDSFriesen",6
"Irene BoehmFritsch",10
"Marta PredovicKovacek",9
"Mandy DonnellyBreitenberg",6
"Bert LindgrenBauch",8
"Aubrey FunkRunolfsdottir",7
"Jose WatsicaKuhlman",7
"Hugh Quitzon PhDBrown",8
"Robert KshlerinKoelpin",8
"Cathy ErdmanSatterfield",7
"Barry DuBuqueCollins",11
"Boyd DibbertLabadie",5
"Emilio KutchAdams",7
"Lena PfannerstillBauch",4
"Louise StammBoyer",7
"Jasmine Schneider IVKihn",8
"Roxanne ZiemannBuckridge",4
"Kara MrazBernier",5
"Caleb SengerHoeger",10
"Ann SchroederRoob",9
"Herbert Ernser IIIKoepp",8
"Ricardo Carter MDUllrich",5
"Juan McLaughlinGreenfelder",3
"Bryan MertzErdman",8
"Mr. Doyle FeestUpton",12
"Courtney KohlerBins",11
"Miss Crystal TrompHalvorson",5
"Dwight TorpBarrows",9
"Jaime BergnaumSanford",10
"Kathryn SchummFeeney",7
"Erika DurganRogahn",7
"Cory ReynoldsSatterfield",5
"Kayla KovacekKeebler",8
"Lowell FayHammes",5
"Ms. Rolando McGlynnWelch",12
"Sadie FritschMurray",8
"Barbara GleasonBlanda",3
"Julie OsinskiSchinner",12
"Jesse WolfO'Conner",4
"Mrs. Darnell SchuppePredovic",12
"Viola Weber MDNitzsche",7
"Kristin SkilesSchmidt",9
"Erica RueckerD'Amore",10
"Miss Emma McLaughlinHauck",10
"Tricia AnkundingLabadie",9
"Monique KeeblerWolf",6
"Casey WilkinsonMcLaughlin",6
"Dr. Terence RunolfssonGerhold",5
"Dr. Rebecca SkilesJerde",4
"Jermaine MaggioBeer",6
"Paula Bernier DDSHuel",7
"Estelle RunolfssonRath",9
"Blake KuhnCrist",6
"Rodney LabadieLubowitz",5
"Jeanne MayerKutch",5
"Phil SchowalterBlock",7
"Sidney GutmannCollins",5
"Ira OberbrunnerBuckridge",9
"Darnell WolffBosco",6
"Donna PacochaKing",5
"Lorenzo TurnerKoss",4
"Frederick Denesik Jr.Quitzon",8
"Ignacio McGlynn PhDHane",4
"Ray HarveyMayert",8
"Lewis PadbergDooley",3
"Joann OkunevaSchowalter",3
"Dana PourosSwift",5
"Gerard DachNienow",7
"Wilma Hudson IVKrajcik",4
"Rebecca Ankunding DDSKiehn",9
"Hannah JacobsHarvey",7
"Angelica ProhaskaSanford",9
"Claudia Quigley VHalvorson",7
"Glenda DaughertyBaumbach",11
"Vanessa FaheyGreenholt",4
"Philip BlickOsinski",6
"Hugh HarberWisoky",6
"Miss Jody BrakusBashirian",7
"Darrel KlingBednar",3
"Clyde HoegerWatsica",6
"Salvatore WuckertSchiller",4
"Tammy BeckerHalvorson",5
"Gertrude O'ConnerHeidenreich",6
"Dr. Vivian KuhnWatsica",5
"Pam ErnserReinger",3
"Sonia SanfordEmard",2
"Nina TreutelGleichner",8
"Russell Kulas DVMBahringer",5
"Paul ZemlakCrooks",9
"Kathryn SchmelerHilll",6
"Lydia VeumSchultz",5
"Glen Welch Sr.Thompson",5
"Pearl GleasonBoyle",14
"Tina Jaskolski MDHettinger",11
"Frank KeeblerSmitham",11
"Georgia MannPfannerstill",10
"Orlando McLaughlinKiehn",8
"Isaac Kuhn VWolf",4
"Leah GleichnerOndricka",9
"Ana SchummSwift",4
"Jerry FraneckiSchamberger",8
"Patsy HuelMiller",4
"Judith HamillNikolaus",3
"John CronaHoppe",4
"Casey PriceWaelchi",6
"Elizabeth EmardOberbrunner",8
"Judith KunzeBeer",9
"Peter Donnelly Sr.Kuhic",6
"Rolando KilbackWilliamson",5
"Kara KohlerLakin",7
"Randolph WymanKonopelski",8
"Christie StarkHamill",3
"Melanie GerlachWeimann",5
"Mr. Mark GradySchaden",6
"Frank Moore Sr.Stamm",10
"Marguerite KreigerO'Keefe",6
"Daniel RosenbaumBeahan",8
"Glen WizaBrown",6
"Sam ShanahanLeuschke",2
"Mike MarquardtJacobi",6
"Courtney KuhicBarrows",7
"Mr. Laurence CarrollStamm",5
"Cary KingMarvin",5
"Caleb BorerJerde",5
"Clifton KlockoSchneider",6
"Marlon WatersDaniel",6
"Claudia Emard PhDJohnson",4
"Shawn SanfordBergnaum",3
"Deborah HandToy",5
"Leah BaumbachMueller",6
"Stella GleasonBosco",8
"Douglas NaderStreich",8
"Ida RiceTerry",10
